"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.68750000000E+008, -3.18009642070E+000, +0.00000000000E+000
+1.70000000000E+008, -2.76827445674E+000, +0.00000000000E+000
+1.71250000000E+008, -2.70379639858E+000, +0.00000000000E+000
+1.72500000000E+008, -2.76012477182E+000, +0.00000000000E+000
+1.73750000000E+008, -2.87544900227E+000, +0.00000000000E+000
+1.75000000000E+008, -2.96751121356E+000, +0.00000000000E+000
+1.76250000000E+008, -3.07094354999E+000, +0.00000000000E+000
+1.77500000000E+008, -3.25275950682E+000, +0.00000000000E+000
+1.78750000000E+008, -3.46183722966E+000, +0.00000000000E+000
+1.80000000000E+008, -3.64057961999E+000, +0.00000000000E+000
+1.81250000000E+008, -3.73978937486E+000, +0.00000000000E+000
+1.82500000000E+008, -3.91649872144E+000, +0.00000000000E+000
+1.83750000000E+008, -3.96733588377E+000, +0.00000000000E+000
+1.85000000000E+008, -3.91068610723E+000, +0.00000000000E+000
+1.86250000000E+008, -3.80882442432E+000, +0.00000000000E+000
+1.87500000000E+008, -3.70640616236E+000, +0.00000000000E+000
+1.88750000000E+008, -3.56138734439E+000, +0.00000000000E+000
+1.90000000000E+008, -3.42227148886E+000, +0.00000000000E+000
+1.91250000000E+008, -3.33295516679E+000, +0.00000000000E+000
+1.92500000000E+008, -3.29300638046E+000, +0.00000000000E+000
+1.93750000000E+008, -3.26609128492E+000, +0.00000000000E+000
+1.95000000000E+008, -3.27368426708E+000, +0.00000000000E+000
+1.96250000000E+008, -3.30581260969E+000, +0.00000000000E+000
+1.97500000000E+008, -3.31958383303E+000, +0.00000000000E+000
+1.98750000000E+008, -3.42177874072E+000, +0.00000000000E+000
+2.00000000000E+008, -3.49197337239E+000, +0.00000000000E+000
+2.01250000000E+008, -3.49544593274E+000, +0.00000000000E+000
+2.02500000000E+008, -3.46572448353E+000, +0.00000000000E+000
+2.03750000000E+008, -3.33698037284E+000, +0.00000000000E+000
+2.05000000000E+008, -3.14419619016E+000, +0.00000000000E+000
+2.06250000000E+008, -2.93501026446E+000, +0.00000000000E+000
+2.07500000000E+008, -2.73887633647E+000, +0.00000000000E+000
+2.08750000000E+008, -2.56554712319E+000, +0.00000000000E+000
+2.10000000000E+008, -2.48022585163E+000, +0.00000000000E+000
+2.11250000000E+008, -2.36625571439E+000, +0.00000000000E+000
+2.12500000000E+008, -2.19448001971E+000, +0.00000000000E+000
+2.13750000000E+008, -2.01574416737E+000, +0.00000000000E+000
+2.15000000000E+008, -1.84191512552E+000, +0.00000000000E+000
+2.16250000000E+008, -1.72724715604E+000, +0.00000000000E+000
+2.17500000000E+008, -1.62864170118E+000, +0.00000000000E+000
+2.18750000000E+008, -1.54055615980E+000, +0.00000000000E+000
+2.20000000000E+008, -1.45851782610E+000, +0.00000000000E+000
+2.21250000000E+008, -1.39530460929E+000, +0.00000000000E+000
+2.22500000000E+008, -1.39704483680E+000, +0.00000000000E+000
+2.23750000000E+008, -1.41804997026E+000, +0.00000000000E+000
+2.25000000000E+008, -1.38560158742E+000, +0.00000000000E+000
+2.26250000000E+008, -1.27834565901E+000, +0.00000000000E+000
+2.27500000000E+008, -1.18392269047E+000, +0.00000000000E+000
+2.28750000000E+008, -1.08198884771E+000, +0.00000000000E+000
+2.30000000000E+008, -1.03057931584E+000, +0.00000000000E+000
+2.31250000000E+008, -9.71679487266E-001, +0.00000000000E+000
+2.32500000000E+008, -9.24793857697E-001, +0.00000000000E+000
+2.33750000000E+008, -8.71896005930E-001, +0.00000000000E+000
+2.35000000000E+008, -8.28181367891E-001, +0.00000000000E+000
+2.36250000000E+008, -7.98887160194E-001, +0.00000000000E+000
+2.37500000000E+008, -7.86733806154E-001, +0.00000000000E+000
+2.38750000000E+008, -7.92465980330E-001, +0.00000000000E+000
+2.40000000000E+008, -7.80702332970E-001, +0.00000000000E+000
+2.41250000000E+008, -7.86723891862E-001, +0.00000000000E+000
+2.42500000000E+008, -8.11447178044E-001, +0.00000000000E+000
+2.43750000000E+008, -8.28722499082E-001, +0.00000000000E+000
+2.45000000000E+008, -8.37100217756E-001, +0.00000000000E+000
+2.46250000000E+008, -8.80839224911E-001, +0.00000000000E+000
+2.47500000000E+008, -9.31558453404E-001, +0.00000000000E+000
+2.48750000000E+008, -9.82570907514E-001, +0.00000000000E+000
+2.50000000000E+008, -1.02097315981E+000, +0.00000000000E+000
+2.51250000000E+008, -1.07181865172E+000, +0.00000000000E+000
+2.52500000000E+008, -1.12040071326E+000, +0.00000000000E+000
+2.53750000000E+008, -1.17368691269E+000, +0.00000000000E+000
+2.55000000000E+008, -1.22524307368E+000, +0.00000000000E+000
+2.56250000000E+008, -1.28948675893E+000, +0.00000000000E+000
+2.57500000000E+008, -1.34970990630E+000, +0.00000000000E+000
+2.58750000000E+008, -1.41015090275E+000, +0.00000000000E+000
+2.60000000000E+008, -1.45401780288E+000, +0.00000000000E+000
+2.61250000000E+008, -1.49802253672E+000, +0.00000000000E+000
+2.62500000000E+008, -1.53613680160E+000, +0.00000000000E+000
+2.63750000000E+008, -1.57252954257E+000, +0.00000000000E+000
+2.65000000000E+008, -1.60628505802E+000, +0.00000000000E+000
